Name;Episode;Step;RecircArea;Drag;Lift;Jet0;Jet1
Simu_maxF1_NbAct400_drag;1;59500;3.165356;-0.8702725;0.14121735;0.041008018;0.07486487
Simu_maxF1_NbAct400_drag;1;60000;3.0142498;-0.8503576;0.1821135;0.037860207;0.09516122
Simu_maxF1_NbAct400_drag;1;60500;3.283391;-0.8624239;0.2326977;0.026157223;0.09731955
Simu_maxF1_NbAct400_drag;1;61000;3.4916048;-0.86597586;0.19445235;0.038755797;0.08590735
Simu_maxF1_NbAct400_drag;1;61500;3.1538453;-0.86745;0.14074802;0.04306207;0.0796284
Simu_maxF1_NbAct400_drag;1;62000;3.078692;-0.8535318;0.20980977;0.029026486;0.097350605
Simu_maxF1_NbAct400_drag;1;62500;3.3469226;-0.8633765;0.22630589;0.03287933;0.095114745
Simu_maxF1_NbAct400_drag;1;63000;3.374427;-0.8675355;0.1634271;0.040998958;0.07996287
Simu_maxF1_NbAct400_drag;1;63500;3.05152;-0.8541119;0.16185695;0.04309047;0.090834685
Simu_maxF1_NbAct400_drag;1;64000;3.2041585;-0.8603472;0.22812137;0.025178768;0.09753793
Simu_maxF1_NbAct400_drag;1;64500;3.4392376;-0.86470795;0.20058683;0.038437374;0.08763609
Simu_maxF1_NbAct400_drag;1;65000;3.0983174;-0.87131315;0.13265297;0.04135982;0.073905475
Simu_maxF1_NbAct400_drag;1;65500;3.072315;-0.8502574;0.19260101;0.034743004;0.09652021
Simu_maxF1_NbAct400_drag;1;66000;3.33602;-0.86313134;0.2331058;0.028091006;0.096866064
Simu_maxF1_NbAct400_drag;1;66500;3.4461384;-0.8665066;0.18108402;0.040757693;0.08399732
Simu_maxF1_NbAct400_drag;1;67000;3.066003;-0.86158013;0.14915988;0.043610476;0.084969945
Simu_maxF1_NbAct400_drag;1;67500;3.1454368;-0.85671526;0.21902654;0.026763923;0.097514056
Simu_maxF1_NbAct400_drag;1;68000;3.4546468;-0.8634066;0.21596096;0.036463268;0.092349805
Simu_maxF1_NbAct400_drag;1;68500;3.218612;-0.8695349;0.14692327;0.040881284;0.0760499
Simu_maxF1_NbAct400_drag;1;69000;3.017089;-0.85117006;0.17802434;0.03954705;0.094599046
Simu_maxF1_NbAct400_drag;1;69500;3.244129;-0.86196405;0.23177387;0.025809906;0.097402535
Simu_maxF1_NbAct400_drag;1;70000;3.4975455;-0.86572385;0.19712017;0.038170464;0.08633382
Simu_maxF1_NbAct400_drag;1;70500;3.1434703;-0.8688768;0.13791655;0.042511426;0.077868484
Simu_maxF1_NbAct400_drag;1;71000;3.0763128;-0.85269076;0.20610975;0.030401818;0.09721012
Simu_maxF1_NbAct400_drag;1;71500;3.3689895;-0.8633;0.22888766;0.031634174;0.09574766
Simu_maxF1_NbAct400_drag;1;72000;3.4612346;-0.86719996;0.1689712;0.04102727;0.081242375
Simu_maxF1_NbAct400_drag;1;72500;3.0550838;-0.8560589;0.15600148;0.043371998;0.088774614
Simu_maxF1_NbAct400_drag;1;73000;3.2087405;-0.85956347;0.22503671;0.02563972;0.09754398
Simu_maxF1_NbAct400_drag;1;73500;3.442587;-0.8647388;0.20107324;0.03874158;0.088075586
Simu_maxF1_NbAct400_drag;1;74000;3.1248643;-0.8711254;0.1333599;0.041293003;0.073698826
Simu_maxF1_NbAct400_drag;1;74500;3.0249858;-0.85017985;0.189545;0.036146738;0.09622372
Simu_maxF1_NbAct400_drag;1;75000;3.2805061;-0.8630875;0.2336395;0.02720765;0.09706373
Simu_maxF1_NbAct400_drag;1;75500;3.472562;-0.86631054;0.1856269;0.04025186;0.08474269
Simu_maxF1_NbAct400_drag;1;76000;3.0656781;-0.8638351;0.14666405;0.043415196;0.083246715
Simu_maxF1_NbAct400_drag;1;76500;3.1506515;-0.85550225;0.21617033;0.027065225;0.09748257
Simu_maxF1_NbAct400_drag;1;77000;3.4249122;-0.8633002;0.22073716;0.034792252;0.09342868
Simu_maxF1_NbAct400_drag;1;77500;3.2544196;-0.86882216;0.15255952;0.040789433;0.07732362
Simu_maxF1_NbAct400_drag;1;78000;3.0138555;-0.85180885;0.17358263;0.04085534;0.09372432
Simu_maxF1_NbAct400_drag;1;78500;3.2365022;-0.8615574;0.2314928;0.025397785;0.097505026
Simu_maxF1_NbAct400_drag;1;79000;3.5006032;-0.8653045;0.19914263;0.03802892;0.08685302
Simu_maxF1_NbAct400_drag;1;79500;3.1749573;-0.870159;0.13423555;0.04225988;0.07600846
Simu_maxF1_NbAct400_drag;1;80000;3.0904229;-0.8518977;0.201043;0.03195422;0.09703148
Simu_maxF1_NbAct400_drag;1;80500;3.3526986;-0.86323327;0.23048571;0.030618839;0.09618903
Simu_maxF1_NbAct400_drag;1;81000;3.4675362;-0.866955;0.17348179;0.041118495;0.08232013
Simu_maxF1_NbAct400_drag;1;81500;3.0765636;-0.85777366;0.15357387;0.04322941;0.08743841
Simu_maxF1_NbAct400_drag;1;82000;3.179369;-0.8587341;0.22343579;0.025863595;0.097548775
Simu_maxF1_NbAct400_drag;1;82500;3.4697754;-0.8643559;0.20426136;0.038408346;0.08903699
Simu_maxF1_NbAct400_drag;1;83000;3.1473072;-0.8709516;0.135204;0.04113818;0.073695324
Simu_maxF1_NbAct400_drag;1;83500;3.0299969;-0.85010654;0.18621033;0.036899693;0.095771916
Simu_maxF1_NbAct400_drag;1;84000;3.2952218;-0.8628806;0.23327257;0.026751779;0.09719431
Simu_maxF1_NbAct400_drag;1;84500;3.4649649;-0.8662273;0.18990947;0.03962887;0.085262276
Simu_maxF1_NbAct400_drag;1;85000;3.1179316;-0.8657299;0.14390285;0.043345876;0.08152058
Simu_maxF1_NbAct400_drag;1;85500;3.12669;-0.8543975;0.21303616;0.027734675;0.09743867
Simu_maxF1_NbAct400_drag;1;86000;3.3740478;-0.8633515;0.223489;0.033783384;0.094226666
Simu_maxF1_NbAct400_drag;1;86500;3.290099;-0.86809874;0.15795836;0.040899374;0.0786731
Simu_maxF1_NbAct400_drag;1;87000;3.0260675;-0.85263824;0.16914898;0.041552193;0.09256274
Simu_maxF1_NbAct400_drag;1;87500;3.249072;-0.86107415;0.2304703;0.025138728;0.09754235
Simu_maxF1_NbAct400_drag;1;88000;3.479472;-0.86490446;0.20008087;0.038116597;0.08721533
Simu_maxF1_NbAct400_drag;1;88500;3.0904653;-0.87090844;0.13215049;0.04187333;0.07457886
Simu_maxF1_NbAct400_drag;1;89000;3.0795383;-0.8509494;0.19566625;0.03370876;0.09677941
Simu_maxF1_NbAct400_drag;1;89500;3.367106;-0.86320907;0.2311968;0.029739968;0.096504144
Simu_maxF1_NbAct400_drag;1;90000;3.4442816;-0.866843;0.17639099;0.041141786;0.08305324
Simu_maxF1_NbAct400_drag;1;90500;3.051669;-0.85942113;0.15252411;0.04346841;0.08662064
Simu_maxF1_NbAct400_drag;1;91000;3.1498387;-0.85794014;0.2216069;0.026373409;0.09754551
Simu_maxF1_NbAct400_drag;1;91500;3.4692926;-0.86386573;0.20904434;0.03776657;0.09046329
Simu_maxF1_NbAct400_drag;1;92000;3.1618402;-0.8703785;0.1404472;0.041022263;0.07470148
Simu_maxF1_NbAct400_drag;1;92500;3.0198352;-0.8502895;0.18259218;0.037709393;0.09522725
Simu_maxF1_NbAct400_drag;1;93000;3.2863255;-0.862494;0.23274007;0.026250727;0.09731116
Simu_maxF1_NbAct400_drag;1;93500;3.4916048;-0.8660122;0.19401583;0.0388551;0.08584387
Simu_maxF1_NbAct400_drag;1;94000;3.1538453;-0.8672743;0.14117262;0.043122374;0.07986262
Simu_maxF1_NbAct400_drag;1;94500;3.0737846;-0.85364497;0.21013759;0.028886728;0.09736354
Simu_maxF1_NbAct400_drag;1;95000;3.328115;-0.8633908;0.22597814;0.03300611;0.09502552
Simu_maxF1_NbAct400_drag;1;95500;3.3703604;-0.8675995;0.16279264;0.04100827;0.07981796
Simu_maxF1_NbAct400_drag;1;96000;3.040553;-0.85393083;0.1626853;0.042928584;0.091045685
Simu_maxF1_NbAct400_drag;1;96500;3.2067685;-0.8604439;0.22844687;0.025137536;0.097539775
Simu_maxF1_NbAct400_drag;1;97000;3.4615328;-0.8647014;0.20059477;0.03836953;0.08758674
Simu_maxF1_NbAct400_drag;1;97500;3.0924523;-0.8713011;0.13269626;0.041344397;0.073969044
Simu_maxF1_NbAct400_drag;1;98000;3.072315;-0.85029775;0.19294532;0.034587704;0.09655034
Simu_maxF1_NbAct400_drag;1;98500;3.33602;-0.8631384;0.23295924;0.028259404;0.0968386
Simu_maxF1_NbAct400_drag;1;99000;3.4399111;-0.8665569;0.18047932;0.04081566;0.08387945
Simu_maxF1_NbAct400_drag;1;99500;3.0730095;-0.8613245;0.14950673;0.043645374;0.08517856
